sidoname,cityname,pm10value,pm25value,pop,datetime
경기,가평군,61,34,62264,2022-03-11T13:00:00.000Z
경기,고양시,65,31,1079353,2022-03-11T13:00:00.000Z
경기,과천시,74,52,73345,2022-03-11T13:00:00.000Z
경기,광명시,95,60,292893,2022-03-11T13:00:00.000Z
경기,광주시,78,50,387289,2022-03-11T13:00:00.000Z
경기,구리시,64,29,191948,2022-03-11T13:00:00.000Z
경기,군포시,85,36,268535,2022-03-11T13:00:00.000Z
경기,김포시,72,39,486508,2022-03-11T13:00:00.000Z
경기,남양주시,66,36,733798,2022-03-11T13:00:00.000Z
경기,동두천시,70,30,93592,2022-03-11T13:00:00.000Z
경기,부천시,87,47,806067,2022-03-11T13:00:00.000Z
경기,성남시,74,53,930948,2022-03-11T13:00:00.000Z
경기,수원시,70,37,1183714,2022-03-11T13:00:00.000Z
경기,시흥시,89,40,512030,2022-03-11T13:00:00.000Z
경기,안산시,73,33,652726,2022-03-11T13:00:00.000Z
경기,안성시,90,57,189534,2022-03-11T13:00:00.000Z
경기,안양시,80,40,547178,2022-03-11T13:00:00.000Z
경기,양주시,58,29,236368,2022-03-11T13:00:00.000Z
경기,양평군,60,34,121230,2022-03-11T13:00:00.000Z
경기,여주시,67,42,112150,2022-03-11T13:00:00.000Z
경기,연천군,null,29,42721,2022-03-11T13:00:00.000Z
경기,오산시,90,33,229983,2022-03-11T13:00:00.000Z
경기,용인시,84,48,1077508,2022-03-11T13:00:00.000Z
경기,의왕시,91,52,163356,2022-03-11T13:00:00.000Z
경기,의정부시,57,28,463661,2022-03-11T13:00:00.000Z
경기,이천시,73,38,223177,2022-03-11T13:00:00.000Z
경기,파주시,89,49,483245,2022-03-11T13:00:00.000Z
경기,평택시,89,44,564288,2022-03-11T13:00:00.000Z
경기,포천시,59,32,148939,2022-03-11T13:00:00.000Z
경기,하남시,65,27,320087,2022-03-11T13:00:00.000Z
경기,화성시,78,38,887015,2022-03-11T13:00:00.000Z
경기,가평군,52,31,62264,2022-03-12T01:00:00.000Z
경기,고양시,76,48,1079353,2022-03-12T01:00:00.000Z
경기,과천시,76,52,73345,2022-03-12T01:00:00.000Z
경기,광명시,110,67,292893,2022-03-12T01:00:00.000Z
경기,광주시,101,70,387289,2022-03-12T01:00:00.000Z
경기,구리시,68,33,191948,2022-03-12T01:00:00.000Z
경기,군포시,95,57,268535,2022-03-12T01:00:00.000Z
경기,김포시,76,52,486508,2022-03-12T01:00:00.000Z
경기,남양주시,70,33,733798,2022-03-12T01:00:00.000Z
경기,동두천시,56,33,93592,2022-03-12T01:00:00.000Z
경기,부천시,95,64,806067,2022-03-12T01:00:00.000Z
경기,성남시,97,60,930948,2022-03-12T01:00:00.000Z
경기,수원시,114,71,1183714,2022-03-12T01:00:00.000Z
경기,시흥시,105,67,512030,2022-03-12T01:00:00.000Z
경기,안산시,100,70,652726,2022-03-12T01:00:00.000Z
경기,안성시,111,81,189534,2022-03-12T01:00:00.000Z
경기,안양시,86,57,547178,2022-03-12T01:00:00.000Z
경기,양주시,92,56,236368,2022-03-12T01:00:00.000Z
경기,양평군,72,49,121230,2022-03-12T01:00:00.000Z
경기,여주시,90,62,112150,2022-03-12T01:00:00.000Z
경기,연천군,null,29,42721,2022-03-12T01:00:00.000Z
경기,오산시,100,76,229983,2022-03-12T01:00:00.000Z
경기,용인시,103,72,1077508,2022-03-12T01:00:00.000Z
경기,의왕시,102,59,163356,2022-03-12T01:00:00.000Z
경기,의정부시,62,40,463661,2022-03-12T01:00:00.000Z
경기,이천시,101,66,223177,2022-03-12T01:00:00.000Z
