sidoname,cityname,pm25value,pm10value,datetime,day,week
대전,대전,18.0,50.0,2022-02-26T17:00:00.000Z,2022-02-26T00:00:00.000Z,2022-02-21T00:00:00.000Z
대전,대전,34.0,109.0,2022-03-04T20:00:00.000Z,2022-03-04T00:00:00.000Z,2022-02-28T00:00:00.000Z
대전,대전,10.0,12.0,2022-03-19T15:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
대전,대전,42.0,53.0,2022-03-23T01:00:00.000Z,2022-03-23T00:00:00.000Z,2022-03-21T00:00:00.000Z
대전,대전,14.0,30.0,2022-03-27T08:00:00.000Z,2022-03-27T00:00:00.000Z,2022-03-21T00:00:00.000Z
대전,대전,34.0,67.0,2022-03-11T15:00:00.000Z,2022-03-11T00:00:00.000Z,2022-03-07T00:00:00.000Z
대전,대전,25.0,23.0,2022-03-20T05:00:00.000Z,2022-03-20T00:00:00.000Z,2022-03-14T00:00:00.000Z
대전,대전,17.0,53.0,2022-03-27T18:00:00.000Z,2022-03-27T00:00:00.000Z,2022-03-21T00:00:00.000Z
대전,대전,34.0,66.0,2022-03-11T23:00:00.000Z,2022-03-11T00:00:00.000Z,2022-03-07T00:00:00.000Z
대전,대전,5.0,9.0,2022-03-13T13:00:00.000Z,2022-03-13T00:00:00.000Z,2022-03-07T00:00:00.000Z
대전,대전,47.0,66.0,2022-03-25T01:00:00.000Z,2022-03-25T00:00:00.000Z,2022-03-21T00:00:00.000Z
대전,대전,1.0,3.0,2022-03-18T03:00:00.000Z,2022-03-18T00:00:00.000Z,2022-03-14T00:00:00.000Z
대전,대전,12.0,18.0,2022-03-20T13:00:00.000Z,2022-03-20T00:00:00.000Z,2022-03-14T00:00:00.000Z
대전,대전,22.0,32.0,2022-03-23T22:00:00.000Z,2022-03-23T00:00:00.000Z,2022-03-21T00:00:00.000Z
대전,대전,10.0,31.0,2022-03-07T17:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-07T00:00:00.000Z
대전,대전,18.0,46.0,2022-03-03T15:00:00.000Z,2022-03-03T00:00:00.000Z,2022-02-28T00:00:00.000Z
대전,대전,8.0,10.0,2022-03-19T12:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
대전,대전,46.0,67.0,2022-03-09T03:00:00.000Z,2022-03-09T00:00:00.000Z,2022-03-07T00:00:00.000Z
대전,대전,20.0,46.0,2022-03-07T12:00:00.000Z,2022-03-07T00:00:00.000Z,2022-03-07T00:00:00.000Z
대전,대전,34.0,68.0,2022-03-08T22:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
대전,대전,28.0,50.0,2022-03-08T13:00:00.000Z,2022-03-08T00:00:00.000Z,2022-03-07T00:00:00.000Z
대전,대전,3.0,4.0,2022-03-19T08:00:00.000Z,2022-03-19T00:00:00.000Z,2022-03-14T00:00:00.000Z
대전,대전,11.0,21.0,2022-03-21T13:00:00.000Z,2022-03-21T00:00:00.000Z,2022-03-21T00:00:00.000Z
대전,대전,5.0,9.0,2022-03-26T15:00:00.000Z,2022-03-26T00:00:00.000Z,2022-03-21T00:00:00.000Z
