sidoname,cityname,pm10value,pm25value,datetime
경기,가평군,30,19,2022-04-02T11:00:00.000+0000
경기,고양시,37,19,2022-04-02T11:00:00.000+0000
경기,과천시,24,16,2022-04-02T11:00:00.000+0000
경기,광명시,35,24,2022-04-02T11:00:00.000+0000
경기,광주시,42,27,2022-04-02T11:00:00.000+0000
경기,구리시,42,19,2022-04-02T11:00:00.000+0000
경기,군포시,29,13,2022-04-02T11:00:00.000+0000
경기,김포시,39,22,2022-04-02T11:00:00.000+0000
경기,남양주시,37,21,2022-04-02T11:00:00.000+0000
경기,동두천시,110,25,2022-04-02T11:00:00.000+0000
경기,부천시,41,20,2022-04-02T11:00:00.000+0000
경기,성남시,29,19,2022-04-02T11:00:00.000+0000
경기,수원시,38,22,2022-04-02T11:00:00.000+0000
경기,시흥시,36,21,2022-04-02T11:00:00.000+0000
경기,안산시,34,17,2022-04-02T11:00:00.000+0000
경기,안성시,32,20,2022-04-02T11:00:00.000+0000
경기,안양시,28,20,2022-04-02T11:00:00.000+0000
경기,양주시,34,24,2022-04-02T11:00:00.000+0000
경기,양평군,32,23,2022-04-02T11:00:00.000+0000
경기,여주시,38,26,2022-04-02T11:00:00.000+0000
경기,연천군,null,21,2022-04-02T11:00:00.000+0000
경기,오산시,52,16,2022-04-02T11:00:00.000+0000
경기,용인시,37,27,2022-04-02T11:00:00.000+0000
경기,의왕시,30,19,2022-04-02T11:00:00.000+0000
경기,의정부시,34,18,2022-04-02T11:00:00.000+0000
경기,이천시,40,22,2022-04-02T11:00:00.000+0000
경기,파주시,42,26,2022-04-02T11:00:00.000+0000
경기,평택시,35,19,2022-04-02T11:00:00.000+0000
경기,포천시,33,24,2022-04-02T11:00:00.000+0000
경기,하남시,42,20,2022-04-02T11:00:00.000+0000
경기,화성시,38,19,2022-04-02T11:00:00.000+0000
서울,강남구,27,11,2022-04-02T11:00:00.000+0000
서울,강동구,33,15,2022-04-02T11:00:00.000+0000
서울,강북구,39,23,2022-04-02T11:00:00.000+0000
서울,강서구,38,21,2022-04-02T11:00:00.000+0000
