sidoname,cityname,pm10value,pm25value,datetime
충북,충북,32,18,2022-04-02T11:00:00.000+0000
대구,대구,31,17,2022-04-02T11:00:00.000+0000
서울,서울,33,18,2022-04-02T11:00:00.000+0000
경기,경기,38,21,2022-04-02T11:00:00.000+0000
충남,충남,31,17,2022-04-02T11:00:00.000+0000
대전,대전,26,23,2022-04-02T11:00:00.000+0000
경북,경북,22,12,2022-04-02T11:00:00.000+0000
강원,강원,26,14,2022-04-02T11:00:00.000+0000
제주,제주,22,13,2022-04-02T11:00:00.000+0000
인천,인천,40,23,2022-04-02T11:00:00.000+0000
경남,경남,19,10,2022-04-02T11:00:00.000+0000
전북,전북,25,15,2022-04-02T11:00:00.000+0000
전남,전남,20,12,2022-04-02T11:00:00.000+0000
광주,광주,29,20,2022-04-02T11:00:00.000+0000
부산,부산,20,10,2022-04-02T11:00:00.000+0000
세종,세종,29,17,2022-04-02T11:00:00.000+0000
울산,울산,24,14,2022-04-02T11:00:00.000+0000
